客户等级,主叫次数,被叫次数,通话时长,费用,流失
1,0.485517241,0,0.269614167,0.596106864,0
1,1.488042328,1.423420981,1.449179281,1.530014868,0
2,1.287149481,1.116992251,1.140684194,0.994156885,0
2,1.009817672,1.017794778,1.032426165,0.83347083,0
2,1.045296167,1.234285714,1.363081426,1.281525691,0
2,0.852357691,0.913608967,0.933305051,0.935729317,0
2,1.343283582,1.086061132,1.007189008,0.721742416,0
2,0.613793103,0.428571429,0.721534639,0.558775921,0
2,0.999617005,0.998450573,0.949697672,0.863182873,0
1,1.175377468,1.061694544,1.508412796,1.361521451,0
2,0.845762566,0.685714286,0.638732262,0.624310918,0
1,1.252944956,0.99333611,1.805356278,1.375507835,0
2,0.638895178,0.607280044,0.70424323,0.700105547,0
2,1.034402962,1.181173631,1.286693656,1.185530173,0
1,1.17803838,1.202263084,1.319643381,0.802425928,0
1,1.460794844,0.813873626,1.236859353,1.128982361,0
3,0.709406201,0.83693576,0.725271396,0.432094521,0
1,1.054945055,0.68722467,0.89580439,1.093810445,0
1,0,0.414285714,0.229124098,0.186096257,0
2,1.123853211,1.493902439,1.794855206,1.424862395,0
1,0.583529412,1.033333333,0.582074912,0.58490566,0
2,1.195300528,1.10452289,0.998118366,0.957263261,0
1,1.088068825,1.111207898,1.026464569,0.902860811,0
1,1.291294643,1.135204082,1.022045659,1.057224246,0
1,0.685714286,0.733410943,0.906090665,0.849876085,0
1,0.787952788,0.613794885,0.847547216,0.705133745,0
1,0.829581994,0.814257867,1.05468618,1.107927132,0
1,1.735791091,1.229135053,1.534204947,1.9022912,0
2,1.013468757,1.288711289,1.172228683,0.741074614,0
2,0.937799043,0.940092166,1.031256835,1.029172405,0
2,1.170013,0.989401285,0.870225956,0.891063596,0
2,1.138132296,1.112115732,0.950940386,0.891693231,0
2,1.083249749,0.907349531,0.775405007,0.910884116,0
1,0.495341615,0.651300236,0.437240336,0.342442202,0
1,1.187888199,1.308470291,1.098893752,1.119394369,0
2,1.379139891,1.326410986,1.192460997,1.321645327,0
1,1.102941177,0.402684564,0.554257339,0.595829196,0
2,0.771793702,0.988543486,0.89096244,0.835958185,0
2,0.625,1.616492147,1.271490142,1.156176335,0
2,1.589285714,1.184035477,1.620022503,1.059677091,0
2,1.622068966,1.552560647,1.554336152,0.549548534,0
1,0.900840336,0.521216407,0.420235446,0.41340519,0
3,1.163048965,1.088940777,1.221479384,1.170026965,0
1,1.628158845,1.422997947,1.625961646,1.437625322,0
1,1.890647482,0.811111111,0.752297149,1.180775605,0
1,0,0.71408046,0.440910802,0.319536447,0
1,1.526418787,1.363888376,1.546587504,1.305836737,0
2,1.398176292,1.474067334,1.664115635,1.408650684,0
2,1.306821658,1.133911629,1.080094955,1.068814814,0
1,1.161395856,1.159563925,1.024858478,0.746864579,0
1,2.580489278,2.241637151,1.855553838,2.144578313,0
1,1.049271637,1.019953052,1.036509191,1.097183805,0
1,0.348717949,0.593650794,0.47662264,0.468820745,0
1,1.543529412,2.278589241,1.85211175,1.758979984,0
3,0.663193345,0.740713924,0.764469974,0.777220358,0
2,1.048343292,1.023389709,1.195494304,1.141941792,0
2,1.038794485,0.981539335,0.883328765,0.757528902,0
2,0.748959778,1.006925946,0.902637621,0.728176732,0
1,0.999158013,1.473553114,1.424185554,1.47488145,0
1,0.8994709,1.190904419,1.242095089,1.263923295,0
1,1.050212164,0.83535109,1.145511644,1.149401987,0
2,1.198254155,1.406761178,1.471271803,1.111291265,0
2,1.347329986,1.171197224,1.582209864,1.476896114,0
2,0.893501805,0.876196047,1.013923705,1.642521707,0
2,0.908866995,0.941704036,1.334128264,1.401794448,0
2,0.658812765,0.664472514,0.901333265,0.830398531,0
3,0.969518913,0.468413496,0.646347207,0.59793909,0
1,0.740308019,1.181856719,1.604869148,1.183535017,0
